#;рубеж;с-н/направление/интервал;система/кол-во (интервал);% (интервал);кол-во (рубеж);% (рубеж)
;;;;;;; 05.01.2021 00:00 - 05.01.2021 23:59 *
25;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. Кингисеппского ш. от ул. Лермонтова к пл. Воинской Славы, зона контроля 1,2;KPA-0072-02;КПА;;4310;0,1%
;;Направление не указано;3;0,1%
;;Встречное направление;4307;99,9%
26;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. просп. Ленина от переулка Щуппа к пл. Воинской Славы, зона контроля 1,2;KPA-0073-01;КПА;;9157;0,2%
;;Направление не указано;2;0,0%
;;Встречное направление;7297;79,7%
;;Попутное направление;1858;20,3%
27;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. ул. Восстановления от пл. Воинской Славы к ул. Родниковая, зона контроля 1,2;KPA-0073-03;КПА;;2714;0,1%
;;Направление не указано;2;0,1%
;;Встречное направление;2712;99,9%
28;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. ул. Восстановления от ул. Девятого Мая к пл. Воинской Славы, зона контроля 1;KPA-0072-01;КПА;;1495;0,0%
;;Встречное направление;757;50,6%
;;Попутное направление;738;49,4%
29;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. ул. Восстановления от ул.Юрия Пасторова к пл. Воинской Славы, зона контроля 1,2;KPA-0073-02;КПА;;3107;0,1%
;;Направление не указано;5;0,2%
;;Встречное направление;3102;99,8%
30;Кронштадт, Кронштадтское ш. д.32, уч. Кронштадтского ш. от КАД к ул. Литке, зона контроля 1;KPA-0083-01;КПА;;9071;0,2%
;;Направление не указано;4;0,0%
;;Встречное направление;9060;99,9%
;;Попутное направление;7;0,1%
31;Кронштадт, Кронштадтское ш. д.32, уч. Кронштадтского ш. от ул. Литке к КАД, зона контроля 1,2;KPA-0083-02;КПА;;7869;0,2%
;;Направление не указано;3;0,0%
;;Встречное направление;7866;100,0%
32;Кронштадт, Кронштадтское ш. участок дороги Кронштадтского ш. по направлению к КАД, зоны контроля 1;KPA-0082-01;КПА;;708;0,0%
;;Встречное направление;708;100,0%
33;Кронштадт, Кронштадтское ш. участок дороги Кронштадтского ш. по направлению к Русскому кладбищу, зоны контроля 1;KPA-0082-02;КПА;;933;0,0%
;;Направление не указано;3;0,3%
;;Встречное направление;928;99,5%
;;Попутное направление;2;0,2%
34;ЛО, 0 км 300 м АД Подъезд к г. Бокситогорск нп Сельхозтехника, на г. Бокситогорск;1403031;АСОД АФАП;;1235;0,0%
;;Направление не указано;1235;100,0%
35;ЛО, 0 км 300 м АД Подъезд к г. Бокситогорск нп Сельхозтехника, на нп Дыми;1403032;АСОД АФАП;;762;0,0%
;;Направление не указано;762;100,0%
36;ЛО, 100 км 980 м КАД А-118, от съезда на дер. Низино к Гостилицкому ш., 2-я правая полоса;1308031;АСОД АФАП;;117;0,0%
;;Направление не указано;117;100,0%
37;ЛО, 100 км 980 м КАД А-118, от съезда на дер. Низино к Гостилицкому ш., крайняя левая полоса;1308030;АСОД АФАП;;2;0,0%
;;Направление не указано;2;100,0%
38;ЛО, 102 км 490 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., 2-я правая полоса;1312027;АСОД АФАП;;1254;0,0%
;;Направление не указано;1254;100,0%
39;ЛО, 102 км 490 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя левая полоса;1312028;АСОД АФАП;;376;0,0%
;;Направление не указано;376;100,0%
40;ЛО, 102 км 490 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя правая полоса,;1311124;АСОД АФАП;;3246;0,1%
;;Направление не указано;3246;100,0%
41;ЛО, 105 км 409 м КАД А-118, от Гостилицкого ш. к Ораниенбаумскому пр., 2-я правая полоса;1308018;АСОД АФАП;;888;0,0%
;;Направление не указано;888;100,0%
42;ЛО, 105 км 409 м КАД А-118, от Гостилицкого ш. к Ораниенбаумскому пр., крайняя левая полоса;1308019;АСОД АФАП;;168;0,0%
;;Направление не указано;168;100,0%
43;ЛО, 109 км 809 м КАД А-118, от Ораниенбаумского пр. к Краснофлот;1308021;АСОД АФАП;;181;0,0%
;;Направление не указано;181;100,0%
44;ЛО, 109 км 809 м КАД А-118, от Ораниенбаумского пр. к Краснофлотскому ш., крайняя правая полоса;1308023;АСОД АФАП;;1294;0,0%
;;Направление не указано;1294;100,0%
45;ЛО, 11 км 400 м АД Дыми-Бор-Бочево нп Бор, на нп Бочево;1403002;АСОД АФАП;;208;0,0%
;;Направление не указано;208;100,0%
46;ЛО, 11 км 400 м АД Дыми-Бор-Бочево нп Бор, на нп Дыми;1403001;АСОД АФАП;;740;0,0%
;;Направление не указано;740;100,0%
47;ЛО, 127 км 172 м АД А-121 Сортавала г. Приозерск, на г. Сортавала;1312022;АСОД АФАП;;3740;0,1%
;;Направление не указано;3740;100,0%
48;ЛО, 14 км 450 м АД Песочное-Киссолово нп Агалатово, на нп Киссолово;1403011;АСОД АФАП;;9;0,0%
;;Направление не указано;9;100,0%
49;ЛО, 14 км 450 м АД Песочное-Киссолово нп Агалатово, на нп Сертолово;1403012;АСОД АФАП;;2344;0,1%
;;Направление не указано;2344;100,0%
50;ЛО, 14 км 720 м АД Выборг-Светогорск нп Комсомольское, на г. Выборг;1312041;АСОД АФАП;;454;0,0%
;;Направление не указано;454;100,0%
51;ЛО, 14 км 720 м АД Выборг-Светогорск нп Комсомольское, на нп Светогорск;1312042;АСОД АФАП;;964;0,0%
;;Направление не указано;964;100,0%
52;ЛО, 31 км 165 м КАД А-118, от Краснофлотского ш. к Ораниенбаумскому пр., крайняя левая полоса;1308050;АСОД АФАП;;1115;0,0%
;;Направление не указано;1115;100,0%
53;ЛО, 31 км 165 м КАД А-118, от Краснофлотского ш. к Ораниенбаумскому пр., крайняя правая полоса;1308053;АСОД АФАП;;2864;0,1%
;;Направление не указано;2864;100,0%
54;ЛО, 32 км АД Гатчина-Ополье нп Поселок 81 км, на г. Гатчина;1412036;АСОД АФАП;;1380;0,0%
;;Направление не указано;1380;100,0%
55;ЛО, 32 км АД Гатчина-Ополье нп Поселок 81 км, на нп Ополье;1412035;АСОД АФАП;;2107;0,1%
;;Направление не указано;2107;100,0%
56;ЛО, 33 км 554 м АД СПб-Парголово-Огоньки, на г. СПб;1311093;АСОД АФАП;;1294;0,0%
;;Направление не указано;1294;100,0%
57;ЛО, 33 км 970 м АД СПб-Кировск, на г. СПб;1403006;АСОД АФАП;;5916;0,2%
;;Направление не указано;5916;100,0%
58;ЛО, 33 км 995 м АД СПб-Кировск, на г. Кировск;1403005;АСОД АФАП;;5395;0,1%
;;Направление не указано;5395;100,0%
59;ЛО, 35 км 565 м КАД А-118, от Ораниенбаумского пр. к Гостилицкому ш., 2-я правая полоса;1311108;АСОД АФАП;;1420;0,0%
;;Направление не указано;1420;100,0%
60;ЛО, 35 км 565 м КАД А-118, от Ораниенбаумского пр. к Гостилицкому ш., крайняя левая полоса;1311107;АСОД АФАП;;782;0,0%
;;Направление не указано;782;100,0%
61;ЛО, 38 км 120 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., 2-я правая полоса;1311121;АСОД АФАП;;2;0,0%
;;Направление не указано;2;100,0%
62;ЛО, 38 км 120 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя левая полоса;1311122;АСОД АФАП;;1;0,0%
;;Направление не указано;1;100,0%
63;ЛО, 38 км 120 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя правая полоса;1311101;АСОД АФАП;;1778;0,0%
;;Направление не указано;1778;100,0%
64;ЛО, 4 км 845 м АД Старая-Кудрово нп Новосергиевка, на нп Старая;1403047;АСОД АФАП;;5250;0,1%
;;Направление не указано;5250;100,0%
65;ЛО, 40 км 20 м КАД А-118, от Гостилицкого ш. к съезду на дер. Низино, крайняя правая полоса;1306054;АСОД АФАП;;4408;0,1%
;;Направление не указано;4408;100,0%
66;ЛО, 40 км 800 м АД Р-21 Кола на г. Мурманск, крайняя правая полоса;1311097;АСОД АФАП;;14225;0,4%
;;Направление не указано;14225;100,0%
67;ЛО, 40 км 800 м АД Р-21 Кола на г. СПб, крайняя левая полоса;1311087;АСОД АФАП;;3925;0,1%
;;Направление не указано;3925;100,0%
68;ЛО, 40 км 800 м АД Р-21 Кола на г. СПб, крайняя правая полоса;1311088;АСОД АФАП;;7992;0,2%
;;Направление не указано;7992;100,0%
69;ЛО, 41 км 220 м КАД А-118, от Рябовского ш. к Колтушскому ш., крайняя левая полоса;1308035;АСОД АФАП;;1896;0,1%
;;Направление не указано;1896;100,0%
70;ЛО, 43 км 504 м КАД А-118, от Рябовского ш. к Колтушскому ш., 2-я правая полоса;1308025;АСОД АФАП;;4882;0,1%
;;Направление не указано;4882;100,0%
71;ЛО, 43 км 504 м КАД А-118, от Рябовского ш. к Колтушскому ш., крайняя левая полоса;1308024;АСОД АФАП;;10327;0,3%
;;Направление не указано;10327;100,0%
72;ЛО, 43 км 504 м КАД А-118, от Рябовского ш. к Колтушскому ш., крайняя правая полоса;1308026;АСОД АФАП;;4410;0,1%
;;Направление не указано;4410;100,0%
73;ЛО, 44 км 300 м КАД А-118, от Рябовского ш. к Колтушскому ш.,;1306059;АСОД АФАП;;24925;0,7%
;;Направление не указано;24925;100,0%
74;ЛО, 44 км АД Выборг-Светогорск нп Лесогорский, на г. Выборг;1403045;АСОД АФАП;;2439;0,1%
;;Направление не указано;2439;100,0%
75;ЛО, 45 км 680 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя левая полоса;1312019;АСОД АФАП;;592;0,0%
;;Направление не указано;592;100,0%
76;ЛО, 45 км 680 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя правая полоса;1311112;АСОД АФАП;;2440;0,1%
;;Направление не указано;2440;100,0%
77;ЛО, 45 км АД Р-21 Кола нп Синявино, на г. Мурманск, крайняя левая полоса;1311117;АСОД АФАП;;20;0,0%
;;Направление не указано;20;100,0%
78;ЛО, 45 км АД Р-21 Кола нп Синявино, на г. СПб, крайняя левая полоса;1312017;АСОД АФАП;;2912;0,1%
;;Направление не указано;2912;100,0%
79;ЛО, 45 км АД Р-21 Кола нп Синявино, на г. СПб, крайняя правая полоса;1312018;АСОД АФАП;;3385;0,1%
;;Направление не указано;3385;100,0%
80;ЛО, 48 км 630 м КАД А-118, от Ропшинского ш. к Красносельскому ш., крайняя правая полоса;1308049;АСОД АФАП;;1;0,0%
;;Направление не указано;1;100,0%
81;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб.,;1308055;АСОД АФАП;;3535;0,1%
;;Направление не указано;3535;100,0%
82;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб., 3-я правая полоса;1308057;АСОД АФАП;;3279;0,1%
;;Направление не указано;3279;100,0%
83;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб., крайняя левая полоса;1308054;АСОД АФАП;;8515;0,2%
;;Направление не указано;8515;100,0%
84;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб., крайняя правая полоса;1308056;АСОД АФАП;;5543;0,2%
;;Направление не указано;5543;100,0%
85;ЛО, 515 км АД А-114 Вологда-Тихвин-автомобильная дорога Р-21 Кола нп Колчаново, на г. Тихвин;1403035;АСОД АФАП;;2566;0,1%
;;Направление не указано;2566;100,0%
86;ЛО, 53 км АД СПб-Кировск г. Кировск, на г. Кировск;1403049;АСОД АФАП;;2109;0,1%
;;Направление не указано;2109;100,0%
