#;рубеж;с-н/направление/интервал;система/кол-во (интервал);% (интервал);кол-во (рубеж);% (рубеж)
;;;;;;; 03.01.2021 00:00 - 03.01.2021 23:59 *
24;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. просп. Ленина от переулка Щуппа к пл. Воинской Славы, зона контроля 1,2;KPA-0073-01;КПА;;8267;0,3%
;;Встречное направление;7000;84,7%
;;Попутное направление;1267;15,3%
25;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. ул. Восстановления от пл. Воинской Славы к ул. Родниковая, зона контроля 1,2;KPA-0073-03;КПА;;2397;0,1%
;;Направление не указано;2;0,1%
;;Встречное направление;2395;99,9%
26;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. ул. Восстановления от ул. Девятого Мая к пл. Воинской Славы, зона контроля 1;KPA-0072-01;КПА;;1216;0,0%
;;Встречное направление;572;47,0%
;;Попутное направление;644;53,0%
27;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. ул. Восстановления от ул.Юрия Пасторова к пл. Воинской Славы, зона контроля 1,2;KPA-0073-02;КПА;;2709;0,1%
;;Направление не указано;8;0,3%
;;Встречное направление;2701;99,7%
28;Кронштадт, Кронштадтское ш. д.32, уч. Кронштадтского ш. от КАД к ул. Литке, зона контроля 1;KPA-0083-01;КПА;;8247;0,3%
;;Встречное направление;8242;99,9%
;;Попутное направление;5;0,1%
29;Кронштадт, Кронштадтское ш. д.32, уч. Кронштадтского ш. от ул. Литке к КАД, зона контроля 1,2;KPA-0083-02;КПА;;7006;0,2%
;;Направление не указано;8;0,1%
;;Встречное направление;6998;99,9%
30;Кронштадт, Кронштадтское ш. участок дороги Кронштадтского ш. по направлению к КАД, зоны контроля 1;KPA-0082-01;КПА;;580;0,0%
;;Направление не указано;7;1,2%
;;Встречное направление;573;98,8%
31;Кронштадт, Кронштадтское ш. участок дороги Кронштадтского ш. по направлению к Русскому кладбищу, зоны контроля 1;KPA-0082-02;КПА;;791;0,0%
;;Направление не указано;8;1,0%
;;Встречное направление;781;98,7%
;;Попутное направление;2;0,3%
32;ЛО, 0 км 300 м АД Подъезд к г. Бокситогорск нп Сельхозтехника, на г. Бокситогорск;1403031;АСОД АФАП;;1141;0,0%
;;Направление не указано;1141;100,0%
33;ЛО, 0 км 300 м АД Подъезд к г. Бокситогорск нп Сельхозтехника, на нп Дыми;1403032;АСОД АФАП;;666;0,0%
;;Направление не указано;666;100,0%
34;ЛО, 100 км 980 м КАД А-118, от съезда на дер. Низино к Гостилицкому ш., 2-я правая полоса;1308031;АСОД АФАП;;121;0,0%
;;Направление не указано;121;100,0%
35;ЛО, 100 км 980 м КАД А-118, от съезда на дер. Низино к Гостилицкому ш., крайняя левая полоса;1308030;АСОД АФАП;;13;0,0%
;;Направление не указано;13;100,0%
36;ЛО, 102 км 490 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., 2-я правая полоса;1312027;АСОД АФАП;;1473;0,0%
;;Направление не указано;1473;100,0%
37;ЛО, 102 км 490 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя левая полоса;1312028;АСОД АФАП;;119;0,0%
;;Направление не указано;119;100,0%
38;ЛО, 102 км 490 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя правая полоса,;1311124;АСОД АФАП;;3520;0,1%
;;Направление не указано;3520;100,0%
39;ЛО, 105 км 409 м КАД А-118, от Гостилицкого ш. к Ораниенбаумскому пр., 2-я правая полоса;1308018;АСОД АФАП;;1265;0,0%
;;Направление не указано;1265;100,0%
40;ЛО, 105 км 409 м КАД А-118, от Гостилицкого ш. к Ораниенбаумскому пр., крайняя левая полоса;1308019;АСОД АФАП;;223;0,0%
;;Направление не указано;223;100,0%
41;ЛО, 109 км 809 м КАД А-118, от Ораниенбаумского пр. к Краснофлот;1308021;АСОД АФАП;;237;0,0%
;;Направление не указано;237;100,0%
42;ЛО, 109 км 809 м КАД А-118, от Ораниенбаумского пр. к Краснофлотскому ш., крайняя правая полоса;1308023;АСОД АФАП;;1461;0,0%
;;Направление не указано;1461;100,0%
43;ЛО, 11 км 400 м АД Дыми-Бор-Бочево нп Бор, на нп Бочево;1403002;АСОД АФАП;;185;0,0%
;;Направление не указано;185;100,0%
44;ЛО, 11 км 400 м АД Дыми-Бор-Бочево нп Бор, на нп Дыми;1403001;АСОД АФАП;;433;0,0%
;;Направление не указано;433;100,0%
45;ЛО, 127 км 172 м АД А-121 Сортавала г. Приозерск, на г. Сортавала;1312022;АСОД АФАП;;4297;0,1%
;;Направление не указано;4297;100,0%
46;ЛО, 14 км 450 м АД Песочное-Киссолово нп Агалатово, на нп Киссолово;1403011;АСОД АФАП;;6;0,0%
;;Направление не указано;6;100,0%
47;ЛО, 14 км 450 м АД Песочное-Киссолово нп Агалатово, на нп Сертолово;1403012;АСОД АФАП;;2253;0,1%
;;Направление не указано;2253;100,0%
48;ЛО, 14 км 720 м АД Выборг-Светогорск нп Комсомольское, на г. Выборг;1312041;АСОД АФАП;;339;0,0%
;;Направление не указано;339;100,0%
49;ЛО, 14 км 720 м АД Выборг-Светогорск нп Комсомольское, на нп Светогорск;1312042;АСОД АФАП;;781;0,0%
;;Направление не указано;781;100,0%
50;ЛО, 31 км 165 м КАД А-118, от Краснофлотского ш. к Ораниенбаумскому пр., крайняя левая полоса;1308050;АСОД АФАП;;1014;0,0%
;;Направление не указано;1014;100,0%
51;ЛО, 31 км 165 м КАД А-118, от Краснофлотского ш. к Ораниенбаумскому пр., крайняя правая полоса;1308053;АСОД АФАП;;2531;0,1%
;;Направление не указано;2531;100,0%
52;ЛО, 32 км АД Гатчина-Ополье нп Поселок 81 км, на г. Гатчина;1412036;АСОД АФАП;;1217;0,0%
;;Направление не указано;1217;100,0%
53;ЛО, 32 км АД Гатчина-Ополье нп Поселок 81 км, на нп Ополье;1412035;АСОД АФАП;;1818;0,1%
;;Направление не указано;1818;100,0%
54;ЛО, 33 км 970 м АД СПб-Кировск, на г. СПб;1403006;АСОД АФАП;;5079;0,2%
;;Направление не указано;5079;100,0%
55;ЛО, 33 км 995 м АД СПб-Кировск, на г. Кировск;1403005;АСОД АФАП;;4936;0,2%
;;Направление не указано;4936;100,0%
56;ЛО, 35 км 565 м КАД А-118, от Ораниенбаумского пр. к Гостилицкому ш., 2-я правая полоса;1311108;АСОД АФАП;;1611;0,1%
;;Направление не указано;1611;100,0%
57;ЛО, 35 км 565 м КАД А-118, от Ораниенбаумского пр. к Гостилицкому шоссе;1306061;АСОД АФАП;;21;0,0%
;;Направление не указано;21;100,0%
58;ЛО, 38 км 120 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., 2-я правая полоса;1311121;АСОД АФАП;;3;0,0%
;;Направление не указано;3;100,0%
59;ЛО, 38 км 120 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя левая полоса;1311122;АСОД АФАП;;3;0,0%
;;Направление не указано;3;100,0%
60;ЛО, 38 км 120 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя правая полоса;1311101;АСОД АФАП;;1739;0,1%
;;Направление не указано;1739;100,0%
61;ЛО, 4 км 845 м АД Старая-Кудрово нп Новосергиевка, на нп Кудрово;1403048;АСОД АФАП;;2421;0,1%
;;Направление не указано;2421;100,0%
62;ЛО, 4 км 845 м АД Старая-Кудрово нп Новосергиевка, на нп Старая;1403047;АСОД АФАП;;2354;0,1%
;;Направление не указано;2354;100,0%
63;ЛО, 40 км 20 м КАД А-118, от Гостилицкого ш. к съезду на дер. Низино, крайняя правая полоса;1306054;АСОД АФАП;;6101;0,2%
;;Направление не указано;6101;100,0%
64;ЛО, 40 км 800 м АД Р-21 Кола на г. Мурманск, крайняя правая полоса;1311097;АСОД АФАП;;14016;0,5%
;;Направление не указано;14016;100,0%
65;ЛО, 40 км 800 м АД Р-21 Кола на г. СПб, крайняя левая полоса;1311087;АСОД АФАП;;4078;0,1%
;;Направление не указано;4078;100,0%
66;ЛО, 40 км 800 м АД Р-21 Кола на г. СПб, крайняя правая полоса;1311088;АСОД АФАП;;4766;0,2%
;;Направление не указано;4766;100,0%
67;ЛО, 41 км 220 м КАД А-118, от Рябовского ш. к Колтушскому ш., крайняя левая полоса;1308035;АСОД АФАП;;2340;0,1%
;;Направление не указано;2340;100,0%
68;ЛО, 41 км 220 м КАД А-118, от Рябовского ш. к Колтушскому ш., крайняя правая полоса;1308033;АСОД АФАП;;52;0,0%
;;Направление не указано;52;100,0%
69;ЛО, 43 км 504 м КАД А-118, от Рябовского ш. к Колтушскому ш., 2-я правая полоса;1308025;АСОД АФАП;;4667;0,2%
;;Направление не указано;4667;100,0%
70;ЛО, 43 км 504 м КАД А-118, от Рябовского ш. к Колтушскому ш., крайняя левая полоса;1308024;АСОД АФАП;;8947;0,3%
;;Направление не указано;8947;100,0%
71;ЛО, 43 км 504 м КАД А-118, от Рябовского ш. к Колтушскому ш., крайняя правая полоса;1308026;АСОД АФАП;;4198;0,1%
;;Направление не указано;4198;100,0%
