#;рубеж;с-н/направление/интервал;система/кол-во (интервал);% (интервал);кол-во (рубеж);% (рубеж)
;;;;;;; 06.01.2021 00:00 - 06.01.2021 23:59 *
1;[DEL20190516]г. СПб, пр. Медиков, д.10, к.1 лит. А, к ул. Профессора Попова;F308;;;2923;0,1%
;;Встречное направление;7429;79,8%
;;Попутное направление;1885;20,2%
23;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. ул. Восстановления от пл. Воинской Славы к ул. Родниковая, зона контроля 1,2;KPA-0073-03;КПА;;2632;0,1%
;;Направление не указано;3;0,1%
;;Встречное направление;2629;99,9%
24;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. ул. Восстановления от ул. Девятого Мая к пл. Воинской Славы, зона контроля 1;KPA-0072-01;КПА;;1666;0,0%
;;Встречное направление;820;49,2%
;;Попутное направление;846;50,8%
25;Красное село, Восстановления ул. д.22 к.2 (пересечение Кингисеппского ш., просп. Ленина, ул. Восстановления, Гатчинского ш.), уч. ул. Восстановления от ул.Юрия Пасторова к пл. Воинской Славы, зона контроля 1,2;KPA-0073-02;КПА;;3297;0,1%
;;Направление не указано;8;0,2%
;;Встречное направление;3289;99,8%
26;Кронштадт, Кронштадтское ш. д.32, уч. Кронштадтского ш. от КАД к ул. Литке, зона контроля 1;KPA-0083-01;КПА;;9614;0,3%
;;Направление не указано;6;0,1%
;;Встречное направление;9601;99,9%
;;Попутное направление;7;0,1%
27;Кронштадт, Кронштадтское ш. д.32, уч. Кронштадтского ш. от ул. Литке к КАД, зона контроля 1,2;KPA-0083-02;КПА;;7886;0,2%
;;Встречное направление;7886;100,0%
28;Кронштадт, Кронштадтское ш. участок дороги Кронштадтского ш. по направлению к КАД, зоны контроля 1;KPA-0082-01;КПА;;671;0,0%
;;Встречное направление;671;100,0%
29;Кронштадт, Кронштадтское ш. участок дороги Кронштадтского ш. по направлению к Русскому кладбищу, зоны контроля 1;KPA-0082-02;КПА;;923;0,0%
;;Встречное направление;922;99,9%
;;Попутное направление;1;0,1%
30;ЛО, 0 км 300 м АД Подъезд к г. Бокситогорск нп Сельхозтехника, на г. Бокситогорск;1403031;АСОД АФАП;;1302;0,0%
;;Направление не указано;1302;100,0%
31;ЛО, 0 км 300 м АД Подъезд к г. Бокситогорск нп Сельхозтехника, на нп Дыми;1403032;АСОД АФАП;;815;0,0%
;;Направление не указано;815;100,0%
32;ЛО, 1 км АД СПб-Матокса нп Мурино, на нп Матокса;1312023;АСОД АФАП;;1895;0,1%
;;Направление не указано;1895;100,0%
33;ЛО, 100 км 980 м КАД А-118, от съезда на дер. Низино к Гостилицкому ш., 2-я правая полоса;1308031;АСОД АФАП;;63;0,0%
;;Направление не указано;63;100,0%
34;ЛО, 100 км 980 м КАД А-118, от съезда на дер. Низино к Гостилицкому ш., крайняя левая полоса;1308030;АСОД АФАП;;10;0,0%
;;Направление не указано;10;100,0%
35;ЛО, 102 км 490 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., 2-я правая полоса;1312027;АСОД АФАП;;1428;0,0%
;;Направление не указано;1428;100,0%
36;ЛО, 102 км 490 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя левая полоса;1312028;АСОД АФАП;;641;0,0%
;;Направление не указано;641;100,0%
37;ЛО, 102 км 490 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя правая полоса,;1311124;АСОД АФАП;;3294;0,1%
;;Направление не указано;3294;100,0%
38;ЛО, 105 км 409 м КАД А-118, от Гостилицкого ш. к Ораниенбаумскому пр., 2-я правая полоса;1308018;АСОД АФАП;;1195;0,0%
;;Направление не указано;1195;100,0%
39;ЛО, 105 км 409 м КАД А-118, от Гостилицкого ш. к Ораниенбаумскому пр., крайняя левая полоса;1308019;АСОД АФАП;;204;0,0%
;;Направление не указано;204;100,0%
40;ЛО, 109 км 809 м КАД А-118, от Ораниенбаумского пр. к Краснофлот;1308021;АСОД АФАП;;251;0,0%
;;Направление не указано;251;100,0%
41;ЛО, 109 км 809 м КАД А-118, от Ораниенбаумского пр. к Краснофлотскому ш., крайняя правая полоса;1308023;АСОД АФАП;;1269;0,0%
;;Направление не указано;1269;100,0%
42;ЛО, 11 км 400 м АД Дыми-Бор-Бочево нп Бор, на нп Бочево;1403002;АСОД АФАП;;231;0,0%
;;Направление не указано;231;100,0%
43;ЛО, 11 км 400 м АД Дыми-Бор-Бочево нп Бор, на нп Дыми;1403001;АСОД АФАП;;766;0,0%
;;Направление не указано;766;100,0%
44;ЛО, 127 км 172 м АД А-121 Сортавала г. Приозерск, на г. СПб;1312021;АСОД АФАП;;4073;0,1%
;;Направление не указано;4073;100,0%
45;ЛО, 127 км 172 м АД А-121 Сортавала г. Приозерск, на г. Сортавала;1312022;АСОД АФАП;;4260;0,1%
;;Направление не указано;4260;100,0%
46;ЛО, 14 км 720 м АД Выборг-Светогорск нп Комсомольское, на г. Выборг;1312041;АСОД АФАП;;436;0,0%
;;Направление не указано;436;100,0%
47;ЛО, 14 км 720 м АД Выборг-Светогорск нп Комсомольское, на нп Светогорск;1312042;АСОД АФАП;;1016;0,0%
;;Направление не указано;1016;100,0%
48;ЛО, 31 км 165 м КАД А-118, от Краснофлотского ш. к Ораниенбаумскому пр., крайняя левая полоса;1308050;АСОД АФАП;;1089;0,0%
;;Направление не указано;1089;100,0%
49;ЛО, 31 км 165 м КАД А-118, от Краснофлотского ш. к Ораниенбаумскому пр., крайняя правая полоса;1308053;АСОД АФАП;;2758;0,1%
;;Направление не указано;2758;100,0%
50;ЛО, 32 км АД Гатчина-Ополье нп Поселок 81 км, на г. Гатчина;1412036;АСОД АФАП;;1523;0,0%
;;Направление не указано;1523;100,0%
51;ЛО, 32 км АД Гатчина-Ополье нп Поселок 81 км, на нп Ополье;1412035;АСОД АФАП;;2204;0,1%
;;Направление не указано;2204;100,0%
52;ЛО, 33 км 970 м АД СПб-Кировск, на г. СПб;1403006;АСОД АФАП;;6053;0,2%
;;Направление не указано;6053;100,0%
53;ЛО, 33 км 995 м АД СПб-Кировск, на г. Кировск;1403005;АСОД АФАП;;6225;0,2%
;;Направление не указано;6225;100,0%
54;ЛО, 35 км 565 м КАД А-118, от Ораниенбаумского пр. к Гостилицкому ш., 2-я правая полоса;1311108;АСОД АФАП;;1468;0,0%
;;Направление не указано;1468;100,0%
55;ЛО, 35 км 565 м КАД А-118, от Ораниенбаумского пр. к Гостилицкому ш., крайняя левая полоса;1311107;АСОД АФАП;;822;0,0%
;;Направление не указано;822;100,0%
56;ЛО, 38 км 120 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., 2-я правая полоса;1311121;АСОД АФАП;;3;0,0%
;;Направление не указано;3;100,0%
57;ЛО, 38 км 120 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя левая полоса;1311122;АСОД АФАП;;1;0,0%
;;Направление не указано;1;100,0%
58;ЛО, 38 км 120 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя правая полоса;1311101;АСОД АФАП;;1816;0,0%
;;Направление не указано;1816;100,0%
59;ЛО, 4 км 845 м АД Старая-Кудрово нп Новосергиевка, на нп Старая;1403047;АСОД АФАП;;5439;0,1%
;;Направление не указано;5439;100,0%
60;ЛО, 40 км 20 м КАД А-118, от Гостилицкого ш. к съезду на дер. Низино, крайняя правая полоса;1306054;АСОД АФАП;;4779;0,1%
;;Направление не указано;4779;100,0%
61;ЛО, 40 км 800 м АД Р-21 Кола на г. Мурманск, крайняя правая полоса;1311097;АСОД АФАП;;14370;0,4%
;;Направление не указано;14370;100,0%
62;ЛО, 40 км 800 м АД Р-21 Кола на г. СПб, крайняя левая полоса;1311087;АСОД АФАП;;3690;0,1%
;;Направление не указано;3690;100,0%
63;ЛО, 40 км 800 м АД Р-21 Кола на г. СПб, крайняя правая полоса;1311088;АСОД АФАП;;7752;0,2%
;;Направление не указано;7752;100,0%
64;ЛО, 41 км 220 м КАД А-118, от Рябовского ш. к Колтушскому ш., крайняя левая полоса;1308035;АСОД АФАП;;2092;0,1%
;;Направление не указано;2092;100,0%
65;ЛО, 43 км 504 м КАД А-118, от Рябовского ш. к Колтушскому ш., 2-я правая полоса;1308025;АСОД АФАП;;5187;0,1%
;;Направление не указано;5187;100,0%
66;ЛО, 43 км 504 м КАД А-118, от Рябовского ш. к Колтушскому ш., крайняя левая полоса;1308024;АСОД АФАП;;10855;0,3%
;;Направление не указано;10855;100,0%
67;ЛО, 43 км 504 м КАД А-118, от Рябовского ш. к Колтушскому ш., крайняя правая полоса;1308026;АСОД АФАП;;4792;0,1%
;;Направление не указано;4792;100,0%
68;ЛО, 44 км 300 м КАД А-118, от Рябовского ш. к Колтушскому ш.,;1306059;АСОД АФАП;;26623;0,7%
;;Направление не указано;26623;100,0%
69;ЛО, 44 км АД Выборг-Светогорск нп Лесогорский, на г. Выборг;1403045;АСОД АФАП;;2475;0,1%
;;Направление не указано;2475;100,0%
70;ЛО, 45 км 680 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя левая полоса;1312019;АСОД АФАП;;705;0,0%
;;Направление не указано;705;100,0%
71;ЛО, 45 км 680 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя правая полоса;1311112;АСОД АФАП;;2560;0,1%
;;Направление не указано;2560;100,0%
72;ЛО, 45 км АД Р-21 Кола нп Синявино, на г. Мурманск, крайняя левая полоса;1311117;АСОД АФАП;;22;0,0%
;;Направление не указано;22;100,0%
73;ЛО, 45 км АД Р-21 Кола нп Синявино, на г. СПб, крайняя левая полоса;1312017;АСОД АФАП;;2909;0,1%
;;Направление не указано;2909;100,0%
74;ЛО, 45 км АД Р-21 Кола нп Синявино, на г. СПб, крайняя правая полоса;1312018;АСОД АФАП;;3631;0,1%
;;Направление не указано;3631;100,0%
75;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб.,;1308055;АСОД АФАП;;3792;0,1%
;;Направление не указано;3792;100,0%
76;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб., 3-я правая полоса;1308057;АСОД АФАП;;3559;0,1%
;;Направление не указано;3559;100,0%
77;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб., крайняя левая полоса;1308054;АСОД АФАП;;9469;0,3%
;;Направление не указано;9469;100,0%
78;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб., крайняя правая полоса;1308056;АСОД АФАП;;5846;0,2%
;;Направление не указано;5846;100,0%
79;ЛО, 515 км АД А-114 Вологда-Тихвин-автомобильная дорога Р-21 Кола нп Колчаново, на г. Тихвин;1403035;АСОД АФАП;;2573;0,1%
;;Направление не указано;2573;100,0%
80;ЛО, 53 км АД СПб-Кировск г. Кировск, на г. Кировск;1403049;АСОД АФАП;;1311;0,0%
;;Направление не указано;1311;100,0%
81;ЛО, 53 км АД СПб-Кировск г. Кировск, на г. СПб;1403050;АСОД АФАП;;1765;0,0%
;;Направление не указано;1765;100,0%
82;ЛО, 54 км 300 м АД А-180 Нарва нп Черемыкино, на г. Нарва;1311106;АСОД АФАП;;1509;0,0%
;;Направление не указано;1509;100,0%
83;ЛО, 54 км 365 м КАД А-118, от Ропшинского ш. к Красносельскому ш., 2-я правая полоса;1312012;АСОД АФАП;;178;0,0%
;;Направление не указано;178;100,0%
84;ЛО, 54 км 365 м КАД А-118, от Ропшинского ш. к Красносельскому ш., крайняя левая полоса;1311099;АСОД АФАП;;1821;0,0%
;;Направление не указано;1821;100,0%
85;ЛО, 56 км 051 м КАД А-118, от Октябрьской наб. к пр. Обуховской обороны, крайняя левая полоса;1308039;АСОД АФАП;;228;0,0%
;;Направление не указано;228;100,0%
86;ЛО, 56 км 051 м КАД А-118, от Октябрьской наб. к пр. Обуховской обороны, крайняя правая полоса;1308037;АСОД АФАП;;456;0,0%
;;Направление не указано;456;100,0%
87;ЛО, 59 км АД СПб-Кировск г. Кировск, на г. СПб;1312040;АСОД АФАП;;1556;0,0%
